"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","key_press","button_pressed","response"
"pavlovia","0","3","0.0-0.0","3","","","","",""
"html-keyboard-response","1","9462","0.0-1.0","3","9456.73000003444","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","13","",""
"html-button-response","2","28054","0.0-2.0","3","18589.90000002086","<p>Before we begin, please close all browser tabs not pertaining to this study, especially those that may produce sound alerts or which may be distracting.</p><p>In this study, we will be asking you to listen to sequences of sounds and to make judgments about them. Therefore, we require that you complete this task using headphones, while seated in a quiet environment. If it is not currently possible for you to satisfy these requirements, please return at a later time to complete the experiment.</p><p>If you are currently accessing the experiment in either Safari or Microsoft Edge/Internet Explorer, please note that the task will NOT run correctly in these browsers. You should copy the URL from this page and return to the study from a different web browser before proceeding.</p><p>If the text instructions appear too large or too small on your screen, you should adjust your browser's zoom level at this time. When you are ready to continue, press the button below.</p>","","0",""
"html-button-response","3","32959","0.0-3.0","3","4902.484999969602","<p>Before you proceed to the main task, you will be asked to perform an audio test that will require headphones in order for you to respond correctly.</p><p>In this test, you will hear several sets of three tones. For each set, your goal is to determine which of the three tones is the quietest.</p><p>After hearing each set of tones, you will be prompted to press the 1, 2, or 3 key to indicate whether the first, second, or third tone was the quietest.</p><p>Press the button below to begin the test.</p>","","0",""
"audio-keyboard-response","4","39332","0.0-4.0-0.0","3","null","headphone_check/antiphase_HC_OIS.wav","null","",""
"html-keyboard-response","5","40416","0.0-4.0-1.0","3","1082.3350000428036","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","",""
"audio-keyboard-response","6","45918","0.0-4.0-0.1","3","null","headphone_check/antiphase_HC_IOS.wav","null","",""
"html-keyboard-response","7","46273","0.0-4.0-1.1","3","354.20499998144805","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","",""
"audio-keyboard-response","8","51780","0.0-4.0-0.2","3","null","headphone_check/antiphase_HC_SIO.wav","null","",""
"html-keyboard-response","9","53026","0.0-4.0-1.2","3","1246.0200000205077","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","",""
"audio-keyboard-response","10","58532","0.0-4.0-0.3","3","null","headphone_check/antiphase_HC_OSI.wav","null","",""
"html-keyboard-response","11","58985","0.0-4.0-1.3","3","452.67500000773","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","",""
"audio-keyboard-response","12","64489","0.0-4.0-0.4","3","null","headphone_check/antiphase_HC_SOI.wav","null","",""
"html-keyboard-response","13","64863","0.0-4.0-1.4","3","373.1600000173785","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","",""
"audio-keyboard-response","14","70372","0.0-4.0-0.5","3","null","headphone_check/antiphase_HC_ISO.wav","null","",""
"html-keyboard-response","15","70764","0.0-4.0-1.5","3","391.18999999482185","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","",""
"html-button-response","16","93780","0.0-5.0","3","21514.82500002021","<p>Next, you will be asked to repeatedly tap your finger at the rate that feels most natural and comfortable to you.</p><p>If you are right-handed, you should tap the J key with your right index finger during this task. If you are left-handed, you should instead tap the F key with your left index finger.</p><p>A cross (+) will be displayed on the screen to indicate when you should begin tapping. You should continue tapping until the cross disappears.</p><p>Press the button below to begin the tapping task.</p>","","0",""
"audio-multiple-response","17","115784","0.0-6.0","3","1056,1952,2635,2901,3104,4784,5147,5413,5883,6235,6512,6832,6971,7232,7515,7744,7973,8208,8496,8741,8976,9659,14539,14683,14821,14987,15131,15264,15365,15467,15680,15776,15888,16085,16187,16267,16363,16464,16571,16672,16773,16875,17152,17653,17787,17947,18229,18395,18539,18672,18827,18992,19173,19445,19637,19835","","74,74,74,74,74,74,74,74,74,70,74,70,74,75,75,74,74,74,85,73,74,13,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74","",""
"html-button-response","18","144812","0.0-7.0","3","27523.2299999916","<p>Now you are ready to proceed to the main task.</p><p>On each trial, you will hear a series of clicks from a metronome, followed by a sequence of piano tones. Your goal is to determine how much faster or slower this tone sequence is, compared to the metronome.</p><p>After listening to each tone sequence, you will be given a slider with which to respond. The slider will range from ""Half as Fast"" on the left to ""Twice as Fast"" on the right. If the tone sequence was slower than the metronome, you should move the slider to the left by a distance which represents how much slower the tone sequence was. If the tone sequence was faster than the metronome, you should instead move the slider to the right by a distance which represents how much faster it was. If the tone sequence was played at the same rate as the metronome, you should place the slider in the center of the range, where it is marked ""Equal Rates"".</p><p>While listening to the metronome and piano sequences, try to keep your physical movements to a minimum, and avoid tapping or moving along with the sounds.</p><p>Press the button below to try three practice trials, which will help you get comfortable with the task.</p>","","0",""
"audio-multiple-response","19","149632","0.0-8.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","20","154598","0.0-9.0","3","229,1029,2395,2816","stimuli/practice_sequence_741.wav","74,74,74,74","",""
"html-slider-response","21","164018","0.0-10.0","3","9419.240000017453","How fast was the tone sequence relative to the clicks?","","","7"
"audio-multiple-response","22","167750","0.0-11.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","23","171953","0.0-12.0","3","517,1077,1648,2197","stimuli/practice_sequence_550.wav","74,74,74,74","",""
"html-slider-response","24","172901","0.0-13.0","3","947.6949999807402","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","25","176635","0.0-14.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","26","180268","0.0-15.0","3","64,587,1131,1669","stimuli/practice_sequence_407.wav","74,74,74,74","",""
"html-slider-response","27","182618","0.0-16.0","3","2350.2100000041537","How fast was the tone sequence relative to the clicks?","","","88"
"html-button-response","28","185769","0.0-17.0","3","1645.4200000152923","<p>You have completed the practice trials and are now ready to begin!</p><p>Remember, your goal is to determine how much faster or slower the piano sequence is, compared to the metronome, while keeping your movements to a minimum.</p><p>Please note that the trials are organized into three blocks, and you will have the opportunity to rest between blocks. If the practice trials were too loud or too quiet, adjust your volume now.</p><p><strong>It is critical that you do not adjust your volume any further until the study has concluded.</strong></p><p>Press the button below when you are ready to proceed.</p>","","0",""
"audio-multiple-response","29","190001","0.0-18.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","30","195372","0.0-19.0","3","576,1205,1851,2459,3205","stimuli/sequence_7_843_16.wav","74,74,74,74,74","",""
"html-slider-response","31","197311","0.0-20.0","3","1938.495000009425","How fast was the tone sequence relative to the clicks?","","","3"
"audio-multiple-response","32","201047","0.0-21.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","33","204257","0.0-22.0","3","165,651,1120","stimuli/sequence_2_302_16.wav","74,74,74","",""
"html-slider-response","34","206888","0.0-23.0","3","2630.3199999965727","How fast was the tone sequence relative to the clicks?","","","73"
"audio-multiple-response","35","210625","0.0-24.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","36","216300","0.0-25.0","3","469,1024,1579,2229,2736","stimuli/sequence_3_918_13.wav","74,74,74,74,74","",""
"html-slider-response","37","219244","0.0-26.0","3","2943.3999999891967","How fast was the tone sequence relative to the clicks?","","","6"
"audio-multiple-response","38","222978","0.0-27.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","39","226540","0.0-28.0","3","","stimuli/sequence_5_390_13.wav","","",""
"html-slider-response","40","235149","0.0-29.0","3","8608.040000020992","How fast was the tone sequence relative to the clicks?","","","76"
"audio-multiple-response","41","238882","0.0-30.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","42","243724","0.0-31.0","3","","stimuli/sequence_2_710_19.wav","","",""
"html-slider-response","43","245821","0.0-32.0","3","2095.5949999624863","How fast was the tone sequence relative to the clicks?","","","0"
"audio-multiple-response","44","249559","0.0-33.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","45","255234","0.0-34.0","3","","stimuli/sequence_6_918_13.wav","","",""
"html-slider-response","46","257558","0.0-35.0","3","2322.764999989886","How fast was the tone sequence relative to the clicks?","","","0"
"audio-multiple-response","47","261293","0.0-36.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","48","266135","0.0-37.0","3","","stimuli/sequence_3_710_13.wav","","",""
"html-slider-response","49","269332","0.0-38.0","3","3195.3750000102445","How fast was the tone sequence relative to the clicks?","","","21"
"audio-multiple-response","50","273069","0.0-39.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","51","278440","0.0-40.0","3","","stimuli/sequence_4_843_16.wav","","",""
"html-slider-response","52","282192","0.0-41.0","3","3751.9350000075065","How fast was the tone sequence relative to the clicks?","","","50"
"audio-multiple-response","53","285928","0.0-42.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","54","291021","0.0-43.0","3","","stimuli/sequence_6_774_16.wav","","",""
"html-slider-response","55","294319","0.0-44.0","3","3296.4049999718554","How fast was the tone sequence relative to the clicks?","","","25"
"audio-multiple-response","56","298051","0.0-45.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","57","301262","0.0-46.0","3","","stimuli/sequence_7_302_19.wav","","",""
"html-slider-response","58","304889","0.0-47.0","3","3626.339999958873","How fast was the tone sequence relative to the clicks?","","","70"
"audio-multiple-response","59","308622","0.0-48.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","60","312819","0.0-49.0","3","","stimuli/sequence_5_550_16.wav","","",""
"html-slider-response","61","315973","0.0-50.0","3","3153.280000027735","How fast was the tone sequence relative to the clicks?","","","27"
"audio-multiple-response","62","319710","0.0-51.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","63","324803","0.0-52.0","3","","stimuli/sequence_7_774_19.wav","","",""
"html-slider-response","64","328903","0.0-53.0","3","4098.800000036135","How fast was the tone sequence relative to the clicks?","","","28"
"audio-multiple-response","65","332638","0.0-54.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","66","336489","0.0-55.0","3","","stimuli/sequence_4_463_13.wav","","",""
"html-slider-response","67","346603","0.0-56.0","3","10113.58999996446","How fast was the tone sequence relative to the clicks?","","","34"
"audio-multiple-response","68","350334","0.0-57.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","69","355428","0.0-58.0","3","","stimuli/sequence_5_774_13.wav","","",""
"html-slider-response","70","359291","0.0-59.0","3","3862.779999966733","How fast was the tone sequence relative to the clicks?","","","37"
"audio-multiple-response","71","363028","0.0-60.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","72","366735","0.0-61.0","3","","stimuli/sequence_7_425_16.wav","","",""
"html-slider-response","73","377003","0.0-62.0","3","10267.255000013392","How fast was the tone sequence relative to the clicks?","","","28"
"audio-multiple-response","74","380735","0.0-63.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","75","383940","0.0-64.0","3","","stimuli/sequence_5_302_16.wav","","",""
"html-slider-response","76","387108","0.0-65.0","3","3166.609999956563","How fast was the tone sequence relative to the clicks?","","","78"
"audio-multiple-response","77","390842","0.0-66.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","78","394548","0.0-67.0","3","","stimuli/sequence_2_425_16.wav","","",""
"html-slider-response","79","398418","0.0-68.0","3","3868.910000019241","How fast was the tone sequence relative to the clicks?","","","64"
"audio-multiple-response","80","402154","0.0-69.0","3","","stimuli/reference_sequence.wav","","",""
"audio-multiple-response","81","405471","0.0-70.0","3","","stimuli/sequence_4_329_19.wav","","",""
"html-slider-response","82","430228","0.0-71.0","3","24755.45499997679","How fast was the tone sequence relative to the clicks?","","","29"
