trial_type,trial_index,time_elapsed,internal_node_id,subject,tap_condition,code_version,tap_times,stimulus,key_press,event,button_pressed,response,experiment,valid_key_press,valid_tap_times,pref_rate,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope
audio-multiple-response,17,108122,0.0-6.0,1,False,v1.1,"[875, 1232, 1621, 1957, 2293, 2661, 3013, 3376, 3765, 4133, 4469, 4811, 5141, 5488, 5840, 6213, 6560, 6907, 7248, 7584, 7957, 8315, 8651, 9008, 9349, 9675, 10061, 10421, 10805, 11125, 11461, 11787, 12139, 12523, 12864, 13221, 13573, 13931, 14283, 14597, 14981]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74]","[  875  1232  1621  1957  2293  2661  3013  3376  3765  4133  4469  4811
  5141  5488  5840  6213  6560  6907  7248  7584  7957  8315  8651  9008
  9349  9675 10061 10421 10805 11125 11461 11787 12139 12523 12864 13221
 13573 13931 14283 14597 14981]",352.0,4,2,0,7.0,0.9169932084886164,48.940838660086015,44.636415557812505
audio-multiple-response,17,122559,0.0-6.0,2,True,v1.1,"[1184, 1782, 2392, 2990, 3587, 4214, 4812, 5404, 6020, 6600, 7192, 7784, 8487, 9056, 9665, 10234, 10850, 11430, 11976, 12643, 13224, 13857, 14420]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[ 1184  1782  2392  2990  3587  4214  4812  5404  6020  6600  7192  7784
  8487  9056  9665 10234 10850 11430 11976 12643 13224 13857 14420]",597.5,4,2,0,24.0,0.9353814937677025,48.76459200018065,55.57450017310499
audio-multiple-response,17,405639,0.0-6.0,4,True,v1.1,[807],,[32],tapping_test,,,IT2,[],[],,0,2,4,12.0,0.9338137988031935,51.68528360745418,55.40187053045635
audio-multiple-response,17,85483,0.0-6.0,5,True,v1.1,"[110, 551, 1033, 1817, 2339, 2769, 3117, 3460, 3860, 4278, 4603, 4957, 5300, 5579, 5915, 6235, 6519, 6844, 7204, 7541, 7819, 8115, 8400, 8678, 8969, 9305, 9613, 9845, 10037, 10507, 11000, 11331, 11604, 11842, 12016, 12341, 12643, 12899, 13084, 13241, 13404, 13630, 14153, 14350, 14588, 14791, 14983]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 187, 74, 74, 74, 32, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74]","[  110   551  1033  1817  2339  2769  3117  3460  3860  4278  4603  4957
  5300  5579  5915  6235  6519  6844  7204  7541  7819  8115  8400  8678
  8969  9305  9613  9845 10037 10507 11000 11331 11604 11842 12016 12643
 12899 13084 13404 13630 14153 14350 14588 14791 14983]",322.5,3,3,0,45.0,0.5834746978973961,52.03526426107915,35.75099555073336
audio-multiple-response,17,126833,0.0-6.0,7,True,v1.1,"[579, 1419, 2349, 3379, 4189, 5091, 5971, 6859, 7629, 8440, 9331, 10171, 10891, 11619, 12400, 13211, 14019, 14749]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[  579  1419  2349  3379  4189  5091  5971  6859  7629  8440  9331 10171
 10891 11619 12400 13211 14019 14749]",811.0,3,3,0,21.0,0.9351444100282712,49.35628836128819,56.09051179873147
audio-multiple-response,17,98870,0.0-6.0,8,False,v1.1,"[792, 2512, 3960, 5920, 6552, 6891, 9992, 10432, 10632, 11800, 12221, 12501, 13421, 13971, 14171, 14251, 14520]",,"[74, 74, 74, 74, 32, 74, 74, 74, 74, 13, 74, 13, 27, 74, 32, 17, 74]",tapping_test,,,IT2,[74 74 74 74 74 74 74 74 74 74 74],[  792  2512  3960  5920  6891  9992 10432 10632 12221 13971 14520],1518.5,5,0,1,36.0,0.8962270064213289,49.314104451818295,61.988082109945736
audio-multiple-response,17,89708,0.0-6.0,9,False,v1.1,"[2606, 11639, 12057, 13444]",,"[74, 32, 74, 13]",tapping_test,,,IT2,[74 74],[ 2606 12057],,2,4,0,38.0,0.8595231473063331,53.68263768284683,39.86354578695407
audio-multiple-response,17,89333,0.0-6.0,10,False,v1.1,"[469, 1640, 2029, 13509, 14019, 14171, 14459, 14619, 14760, 14899]",,"[32, 32, 32, 32, 32, 32, 32, 32, 32, 32]",tapping_test,,,IT2,[],[],,0,6,0,17.0,0.8622572909098105,46.920250068802744,33.916596092027504
audio-multiple-response,17,107097,0.0-6.0,12,True,v1.1,"[598, 1010, 1486, 1991, 2473, 2955, 3506, 4034, 4592, 5306, 5793, 6316, 6815, 7303, 7796, 8290, 8806, 9317, 9845, 10356, 10844, 11314, 11784, 12266, 12759, 13259, 13775, 14303, 14826]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74]","[  598  1010  1486  1991  2473  2955  3506  4034  4592  5306  5793  6316
  6815  7303  7796  8290  8806  9317  9845 10356 10844 11314 11784 12266
 12759 13259 13775 14303 14826]",499.5,5,1,0,44.0,0.9364081111194877,50.9325229044948,61.72222642645463
audio-multiple-response,17,165697,0.0-6.0,13,True,v1.1,"[784, 1402, 2113, 2754, 3393, 4034, 4632, 5233, 5883, 6502, 7102, 7692, 8321, 8960, 9561, 10191, 10780, 11369, 11979, 12588, 13227, 13857, 14457]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,IT2,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[  784  1402  2113  2754  3393  4034  4632  5233  5883  6502  7102  7692
  8321  8960  9561 10191 10780 11369 11979 12588 13227 13857 14457]",618.5,6,0,0,32.0,0.921860689434581,48.5999747386022,52.203716010845866
