"trial_type","trial_index","time_elapsed","internal_node_id","subject","tap_condition","experiment","code_version","rt","stimulus","key_press","event","button_pressed","response"
"pavlovia","0","15","0.0-0.0","70","true","ITLT","v1.0","","","","","",""
"html-keyboard-response","1","2701","0.0-1.0","70","true","ITLT","v1.0","2683.375000000524","<p>Welcome to the study! Press any key to begin reading the instructions.</p>","32","welcome","",""
"html-button-response","2","100803","0.0-2.0","70","true","ITLT","v1.0","98097.4750000023","<p>Before we begin, please close all other browser tabs and programs that may produce sound alerts or notifications, or which may be distracting.</p><p>In this study, we will ask you to listen to sequences of sounds and to make judgments about them. Therefore, we require that you complete this task using headphones, while seated in a quiet environment. If it is not currently possible for you to satisfy these requirements, please return at a later time to complete the experiment.</p><p>If you are currently accessing the experiment in either Safari or Internet Explorer, please note that the task will NOT run correctly in these browsers. You should copy the URL from this page and paste it into a different web browser to complete the study there, instead. Chrome, Firefox, and Edge are all officially supported.</p><p>If the text instructions appear too large or too small on your screen, you should adjust your browser's zoom level at this time. When you are ready to continue, press the button below.</p>","","requirements","0",""
"html-button-response","3","143968","0.0-3.0","70","true","ITLT","v1.0","43161.724999998114","<p>Before you proceed to the main task, you will be asked to perform an audio test that will require headphones in order for you to respond correctly.</p><p>In this test, you will hear several sets of three tones. For each set, your goal is to determine which of the three tones is the quietest.</p><p>After hearing each set of tones, you will be prompted to press the 1, 2, or 3 key to indicate whether the first, second, or third tone was the quietest.</p><p>Press the button below to begin the test.</p>","","headphone_test_instructions","0",""
"audio-keyboard-response","4","150052","0.0-4.0-0.0","70","true","ITLT","v1.0","null","headphone_check/antiphase_HC_OIS.wav","null","headphone_test_tones","",""
"html-keyboard-response","5","157010","0.0-4.0-1.0","70","true","ITLT","v1.0","6956.754999999248","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","headphone_test_response","",""
"audio-keyboard-response","6","162520","0.0-4.0-0.1","70","true","ITLT","v1.0","null","headphone_check/antiphase_HC_ISO.wav","null","headphone_test_tones","",""
"html-keyboard-response","7","164104","0.0-4.0-1.1","70","true","ITLT","v1.0","1583.984999997483","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","headphone_test_response","",""
"audio-keyboard-response","8","169613","0.0-4.0-0.2","70","true","ITLT","v1.0","null","headphone_check/antiphase_HC_SIO.wav","null","headphone_test_tones","",""
"html-keyboard-response","9","174686","0.0-4.0-1.2","70","true","ITLT","v1.0","5072.390000001178","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","headphone_test_response","",""
"audio-keyboard-response","10","180195","0.0-4.0-0.3","70","true","ITLT","v1.0","null","headphone_check/antiphase_HC_OSI.wav","null","headphone_test_tones","",""
"html-keyboard-response","11","181076","0.0-4.0-1.3","70","true","ITLT","v1.0","880.4799999998068","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","50","headphone_test_response","",""
"audio-keyboard-response","12","186584","0.0-4.0-0.4","70","true","ITLT","v1.0","null","headphone_check/antiphase_HC_SOI.wav","null","headphone_test_tones","",""
"html-keyboard-response","13","187873","0.0-4.0-1.4","70","true","ITLT","v1.0","1287.3949999993783","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","49","headphone_test_response","",""
"audio-keyboard-response","14","193379","0.0-4.0-0.5","70","true","ITLT","v1.0","null","headphone_check/antiphase_HC_IOS.wav","null","headphone_test_tones","",""
"html-keyboard-response","15","194198","0.0-4.0-1.5","70","true","ITLT","v1.0","818.6449999993783","<p>Press the 1, 2, or 3 key on your keyboard to indicate which tone was the quietest.</p><p>If you were not able to hear three tones, check that your headphones are working and that your volume is turned up, then press 0.</p>","51","headphone_test_response","",""
"html-keyboard-response","16","267765","0.0-5.0","70","true","ITLT","v1.0","72063.94999999611","<p>Next, you will be asked to tap your finger for a short time at the rate that feels most natural and comfortable to you.</p><p>If you are right-handed, you should tap the J key with your right index finger during this task. If you are left-handed, you should instead tap the F key with your left index finger.</p><p>While completing this exercise, you should rest your wrist on a solid surface and keep your hand still, moving only your index finger to tap the specified key. Go ahead and place your hand in the appropriate position at this time. You should begin tapping when you see a cross (+) appear on the screen, and you should continue tapping until it disappears.</p><p>Remember, you should tap at whatever rate feels most <strong>natural and comfortable</strong> to you. Press the SPACEBAR when you are ready to begin.</p>","32","tap_task_instructions","",""
"audio-multiple-response","17","284774","0.0-6.0","70","true","ITLT","v1.0","773,3035,5099,6923,8741,10661,12459,14325","","74,74,74,74,74,74,74,74","tapping_test","",""
"html-button-response","18","388521","0.0-7.0","70","true","ITLT","v1.0","102239.93999999948","<p>Now you are ready to proceed to the main task.</p><p>On each trial, you will hear a series of clicks from a metronome, followed by a repeating piano tone. Your goal is to determine how much faster or slower this repeating tone is, compared to the metronome.</p><p>After listening to each pair, you will be given a slider with which to respond. The slider will range from ""Half as Fast"" on the left to ""Twice as Fast"" on the right. If the repeating tone was slower than the metronome, you should move the slider to the left by a distance which represents how much slower it was. If the repeating tone was faster than the metronome, you should instead move the slider to the right by a distance which represents how much faster it was. If the repeating tone was played at the same rate as the metronome, you should place the slider in the center of the range, where it is marked ""Equal Rates"".</p><p>In addition to listening to the sounds on each trial, you should also tap along with both the metronome and piano tones, trying to time your taps so that they land perfectly in sync with the start of each sound. If you are right handed, you should do this by tapping the J key with your right index finger. If you are left-handed, you should do this by tapping the F key with your left index finger.</p><p>Press the button below to try three practice trials, which will help you get comfortable with the task.</p>","","main_instructions","0",""
"audio-multiple-response","19","392832","0.0-8.0","70","true","ITLT","v1.0","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","20","397803","0.0-9.0","70","true","ITLT","v1.0","1141,1584,2187,2875","stimuli/practice_sequence_741.wav","74,74,74,74","practice_tones","",""
"html-slider-response","21","411640","0.0-10.0","70","true","ITLT","v1.0","13834.745000000112","How fast was the repeating tone relative to the metronome?","","response","","28"
"audio-multiple-response","22","415392","0.0-11.0","70","true","ITLT","v1.0","363,784,1408,2064","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","23","419595","0.0-12.0","70","true","ITLT","v1.0","197,587,1077,1600,2155","stimuli/practice_sequence_550.wav","74,74,74,74,74","practice_tones","",""
"html-slider-response","24","422158","0.0-13.0","70","true","ITLT","v1.0","2561.7249999995693","How fast was the repeating tone relative to the metronome?","","response","","50"
"audio-multiple-response","25","425910","0.0-14.0","70","true","ITLT","v1.0","309,699,1104,1621","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","26","429542","0.0-15.0","70","true","ITLT","v1.0","523,917,1467","stimuli/practice_sequence_407.wav","74,74,74","practice_tones","",""
"html-slider-response","27","434546","0.0-16.0","70","true","ITLT","v1.0","5002.379999998084","How fast was the repeating tone relative to the metronome?","","response","","74"
"html-button-response","28","459331","0.0-17.0","70","true","ITLT","v1.0","23280.220000000554","<p>You have completed the practice trials and are now ready to begin!</p><p>Remember, your goal is to determine how much faster or slower the repeating tone is, compared to the metronome, while you tap in time with each.</p><p>Please note that the trials are organized into three blocks, and you will have the opportunity to rest between blocks. If the practice trials were too loud or too quiet, adjust your volume now.</p><p><strong>It is critical that you do not adjust your volume any further until the study has concluded.</strong></p><p>Press the button below when you are ready to proceed.</p>","","summary_instructions","0",""
"audio-multiple-response","29","463642","0.0-18.0","70","true","ITLT","v1.0","581,1061,1616,2176","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","30","468485","0.0-19.0","70","true","ITLT","v1.0","155,608,1221,1851,2480","stimuli/sequence_6_710_0.wav","74,74,74,74,74","tones","",""
"html-slider-response","31","482163","0.0-20.0","70","true","ITLT","v1.0","13676.309999995283","How fast was the repeating tone relative to the metronome?","","response","","29"
"audio-multiple-response","32","485915","0.0-21.0","70","true","ITLT","v1.0","1077,1632,2171","stimuli/reference_sequence.wav","74,74,74","metronome","",""
"audio-multiple-response","33","489237","0.0-22.0","70","true","ITLT","v1.0","469,1019","stimuli/sequence_3_329_0.wav","74,74","tones","",""
"html-slider-response","34","493414","0.0-23.0","70","true","ITLT","v1.0","4175.250000000233","How fast was the repeating tone relative to the metronome?","","response","","78"
"audio-multiple-response","35","497168","0.0-24.0","70","true","ITLT","v1.0","539,1035,1579,2123","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","36","500731","0.0-25.0","70","true","ITLT","v1.0","539,981,1573","stimuli/sequence_5_390_1.wav","74,74,74","tones","",""
"html-slider-response","37","505323","0.0-26.0","70","true","ITLT","v1.0","4590.875000001688","How fast was the repeating tone relative to the metronome?","","response","","85"
"audio-multiple-response","38","509078","0.0-27.0","70","true","ITLT","v1.0","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","39","514752","0.0-28.0","70","true","ITLT","v1.0","299,896,1419","stimuli/sequence_4_918_2.wav","74,74,74","tones","",""
"html-slider-response","40","521292","0.0-29.0","70","true","ITLT","v1.0","6538.374999996449","How fast was the repeating tone relative to the metronome?","","response","","13"
"audio-multiple-response","41","525046","0.0-30.0","70","true","ITLT","v1.0","1083,1595,2160","stimuli/reference_sequence.wav","74,74,74","metronome","",""
"audio-multiple-response","42","530145","0.0-31.0","70","true","ITLT","v1.0","475,1115,1584","stimuli/sequence_7_774_2.wav","74,74,74","tones","",""
"html-slider-response","43","533192","0.0-32.0","70","true","ITLT","v1.0","3045.6950000006473","How fast was the repeating tone relative to the metronome?","","response","","18"
"audio-multiple-response","44","536945","0.0-33.0","70","true","ITLT","v1.0","512,1013,1664,2107","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","45","540966","0.0-34.0","70","true","ITLT","v1.0","171,549,1008,1509,2011","stimuli/sequence_4_504_1.wav","74,74,74,74,74","tones","",""
"html-slider-response","46","546898","0.0-35.0","70","true","ITLT","v1.0","5930.215000000317","How fast was the repeating tone relative to the metronome?","","response","","47"
"audio-multiple-response","47","550652","0.0-36.0","70","true","ITLT","v1.0","501,1024,1531,2080","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","48","556326","0.0-37.0","70","true","ITLT","v1.0","272,805,1355","stimuli/sequence_3_918_1.wav","74,74,74","tones","",""
"html-slider-response","49","559635","0.0-38.0","70","true","ITLT","v1.0","3306.929999998887","How fast was the repeating tone relative to the metronome?","","response","","5"
"audio-multiple-response","50","563388","0.0-39.0","70","true","ITLT","v1.0","432,976,1509,2085","stimuli/reference_sequence.wav","74,74,74,74","metronome","",""
"audio-multiple-response","51","566599","0.0-40.0","70","true","ITLT","v1.0","","stimuli/sequence_5_302_0.wav","","tones","",""
"html-slider-response","52","570358","0.0-41.0","70","true","ITLT","v1.0","3758.3150000064634","How fast was the repeating tone relative to the metronome?","","response","","93"
"audio-multiple-response","53","574113","0.0-42.0","70","true","ITLT","v1.0","","stimuli/reference_sequence.wav","","metronome","",""
"audio-multiple-response","54","579788","0.0-43.0","70","true","ITLT","v1.0","","stimuli/sequence_6_918_2.wav","","tones","",""
"html-slider-response","55","583530","0.0-44.0","70","true","ITLT","v1.0","3740.525000001071","How fast was the repeating tone relative to the metronome?","","response","","9"
