trial_type,trial_index,time_elapsed,internal_node_id,subject,tap_condition,experiment,code_version,tap_times,stimulus,key_press,event,button_pressed,response,valid_key_press,valid_tap_times,pref_rate,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope
audio-multiple-response,17,123211,0.0-6.0,2,True,ITLT,v1.0,"[336, 533, 699, 827, 1115, 1269, 1408, 1547, 1691, 1845, 1989, 2160, 2341, 2491, 2645, 2795, 2971, 3131, 3419, 3568, 3765, 3877, 4048, 4197, 4379, 4507, 4645, 4805, 4976, 5125, 5301, 5461, 5611, 5776, 5941, 6107, 6267, 6437, 6608, 6795, 6955, 7115, 7264, 7440, 7605, 7781, 7904, 8128, 8251, 8443, 8613, 8789, 8955, 9136, 9296, 9445, 9589, 9728, 9899, 10059, 10229, 10411, 10560, 10725, 10885, 11029, 11157, 11296, 11435, 11600, 11749, 11904, 12075, 12256, 12592, 12784, 12955, 13131, 13301, 13477, 13643, 13803, 13995, 14171, 14347, 14507, 14683, 14859]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74]","[  336   533   699   827  1115  1269  1408  1547  1691  1845  1989  2160
  2341  2491  2645  2795  2971  3131  3419  3568  3765  3877  4048  4197
  4379  4507  4645  4805  4976  5125  5301  5461  5611  5776  5941  6107
  6267  6437  6608  6795  6955  7115  7264  7440  7605  7781  7904  8128
  8251  8443  8613  8789  8955  9136  9296  9445  9589  9728  9899 10059
 10229 10411 10560 10725 10885 11029 11157 11296 11435 11600 11749 11904
 12075 12256 12592 12784 12955 13131 13301 13477 13643 13803 13995 14171
 14347 14507 14683 14859]",165.0,6,0,0,18.0,0.934153993555676,48.989465613196316,39.72248949784459
audio-multiple-response,17,144605,0.0-6.0,3,True,ITLT,v1.0,"[1285, 2075, 2853, 3653, 4501, 5296, 6069, 6912, 7792, 8624, 9451, 10293, 11184, 11984, 12848, 13685, 14480]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[ 1285  2075  2853  3653  4501  5296  6069  6912  7792  8624  9451 10293
 11184 11984 12848 13685 14480]",829.5,6,0,0,19.0,0.9574962786741719,52.354007835092645,47.93101676410119
audio-multiple-response,17,94240,0.0-6.0,7,True,ITLT,v1.0,"[632, 1131, 1571, 2061, 2520, 2981, 3480, 3952, 4432, 4941, 5371, 5800, 6301, 6771, 7251, 7701, 8192, 8691, 9181, 9640, 10101, 10581, 11080, 11552, 12011, 12472, 12941, 13392]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74 74]","[  632  1131  1571  2061  2520  2981  3480  3952  4432  4941  5371  5800
  6301  6771  7251  7701  8192  8691  9181  9640 10101 10581 11080 11552
 12011 12472 12941 13392]",472.0,4,2,0,26.0,0.9335188222468244,47.19491477182055,54.670525379559805
audio-multiple-response,17,125323,0.0-6.0,8,False,ITLT,v1.0,"[560, 1611, 2731, 3779, 4859, 5979, 7100, 8231, 9361, 10530, 11610, 12751, 13839, 14980]",,"[70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70]",tapping_test,,,[70 70 70 70 70 70 70 70 70 70 70 70 70 70],"[  560  1611  2731  3779  4859  5979  7100  8231  9361 10530 11610 12751
 13839 14980]",1120.0,4,0,2,17.0,0.9696182526474164,49.753849340597945,55.57981231537247
audio-multiple-response,17,142066,0.0-6.0,10,True,ITLT,v1.0,"[4949, 5581, 6221, 8120, 12011, 12600, 13229, 13821, 14421]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,[74 74 74 74 74 74 74 74 74],[ 4949  5581  6221  8120 12011 12600 13229 13821 14421],630.5,6,0,0,17.0,0.9149811520628217,46.03931256236699,42.90667757186711
audio-multiple-response,17,161027,0.0-6.0,11,False,ITLT,v1.0,"[693, 1579, 2533, 3531, 4512, 5488, 6411, 7360, 8267, 9173, 10091, 10981, 11856, 12752, 13664, 14592]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[  693  1579  2533  3531  4512  5488  6411  7360  8267  9173 10091 10981
 11856 12752 13664 14592]",918.0,6,0,0,25.0,0.9426785420596022,53.155989578768256,50.9934189058318
audio-multiple-response,17,133802,0.0-6.0,12,True,ITLT,v1.0,"[600, 1461, 2312, 3152, 4061, 4920, 5821, 6712, 7611, 8461, 9381, 10232, 11120, 12000, 12880, 13781, 14632]",,"[70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70, 70]",tapping_test,,,[70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70],"[  600  1461  2312  3152  4061  4920  5821  6712  7611  8461  9381 10232
 11120 12000 12880 13781 14632]",880.0,3,3,0,53.0,0.9210132130928624,48.586612299834854,63.475422191333166
audio-multiple-response,17,106538,0.0-6.0,14,True,ITLT,v1.0,"[181, 901, 1568, 2224, 2864, 3467, 4011, 4597, 5173, 5685, 6272, 6789, 7413, 7904, 8501, 9024, 9733, 10293, 10864, 11424, 11973, 12597, 13115, 13664, 14309, 14795]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74]","[  181   901  1568  2224  2864  3467  4011  4597  5173  5685  6272  6789
  7413  7904  8501  9024  9733 10293 10864 11424 11973 12597 13115 13664
 14309 14795]",576.0,6,0,0,27.0,0.8624647737458395,58.67641717627845,44.60423677758948
audio-multiple-response,17,171355,0.0-6.0,13,False,ITLT,v1.0,"[693, 1227, 1787, 2432, 2976, 3547, 4048, 4587, 5099, 5653, 6139, 6645, 7157, 7771, 8267, 8747, 9275, 9765, 10283, 10859, 11381, 11909, 12416, 12923, 13461, 13995, 14501]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,"[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74
 74 74 74]","[  693  1227  1787  2432  2976  3547  4048  4587  5099  5653  6139  6645
  7157  7771  8267  8747  9275  9765 10283 10859 11381 11909 12416 12923
 13461 13995 14501]",525.0,6,0,0,25.0,0.9212952632329928,49.50541147764749,44.1727730744757
audio-multiple-response,17,151145,0.0-6.0,15,True,ITLT,v1.0,"[837, 1664, 2443, 3232, 4048, 4837, 5589, 6379, 7237, 8032, 8789, 9563, 10405, 11200, 11931, 12811, 13536, 14304]",,"[74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74, 74]",tapping_test,,,[74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74 74],"[  837  1664  2443  3232  4048  4837  5589  6379  7237  8032  8789  9563
 10405 11200 11931 12811 13536 14304]",789.0,5,0,1,12.0,0.8966136816987865,47.79318884871719,46.65079067193372
