experiment,subject,first_type,pitch,ioi,tempo,tempo_range,loudness,type,true_score,response,rt,error,block,trial,test_correct,test_incorrect,test_skipped,extreme_responses,pearsonr,intercept,slope,residual,illusory_tempo,cooks
ITST,3,a,6,843,71.17437722419929,1,2,a,19.194949373496982,93,6767.955000046641,73.80505062650302,0,1,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,75.3031820719898,176.15886906972128,0.20490712525042326
ITST,3,a,4,550,109.0909090909091,3,1,a,50.0,50,10831.839999882504,0.0,0,2,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,5.966519622751356,13.95764853630449,0.00038964070870086537
ITST,3,a,6,463,129.58963282937364,4,1,a,62.42097125758927,54,5644.530000165105,-8.420971257589272,0,3,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-0.6527431490935598,-1.5269805574404933,4.1690287012471646e-05
ITST,3,a,3,843,71.17437722419929,1,1,a,19.194949373496982,16,6750.789999961853,-3.194949373496982,0,4,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-1.6968179280101978,-3.9694142928747267,0.00037496917362076046
ITST,3,a,6,550,109.0909090909091,3,1,a,50.0,52,5728.25500019826,2.0,0,5,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,7.966519622751356,18.63630524702127,0.0007669466415857642
ITST,3,a,7,1000,60.0,1,0,a,6.875176187496734,0,3273.884999798611,-6.875176187496734,0,6,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-7.164074067764176,-16.75912160660846,0.004581313415164199
ITST,3,a,5,390,153.84615384615384,4,1,a,74.79787473312055,100,5536.019999999553,25.20212526687945,0,7,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,34.76566966398491,81.32831683798287,0.03460528768688034
ITST,3,a,2,843,71.17437722419929,1,0,a,19.194949373496982,0,9917.755000060424,-19.194949373496982,0,8,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-17.696817928010198,-41.39866797860896,0.013794136879607075
ITST,3,a,4,652,92.02453987730061,2,2,a,37.727982709047225,45,15976.07500012964,7.272017290952775,0,9,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,11.458434759711835,26.805041341418097,0.0020314493108571745
ITST,3,a,7,599,100.1669449081803,3,0,a,43.84378078116181,52,7952.264999970794,8.156219218838189,0,10,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,13.229756145095003,30.948743684697643,0.002457657458121588
ITST,3,a,5,358,167.5977653631285,5,0,a,80.97360155738828,76,8431.480000028387,-4.973601557388278,0,11,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,5.485755187573915,12.83298266084604,0.0009194297646946051
ITST,3,a,3,710,84.50704225352112,2,0,a,31.580629700998873,14,2806.7200002260506,-17.580629700998873,0,12,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-14.285908851592303,-33.419431658595286,0.00570367044750284
ITST,3,a,6,329,182.370820668693,5,0,a,87.06720173383901,65,23767.565000103787,-22.067201733839013,0,13,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-10.723945419434017,-25.086829600997717,0.005904825175862047
ITST,3,a,2,550,109.0909090909091,3,2,a,50.0,49,6739.0899998135865,-1.0,0,14,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,4.966519622751356,11.6183201809461,0.0002484430879323873
ITST,3,a,4,302,198.67549668874173,5,0,a,93.24415345434716,88,7938.2100000511855,-5.244153454347156,0,15,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,6.995092883710214,16.36381913122899,0.0025974695871712732
ITST,3,a,2,710,84.50704225352112,2,2,a,31.580629700998873,9,6272.869999986142,-22.580629700998873,0,16,5,0,1,38.0,0.8606991052644332,44.033480377248644,42.74731239457823,-19.285908851592303,-45.116073435387236,0.009957120565620517
