"s","r","a","b1","b2"
"1","0",-2.43237844514172e-14,18.64203884539,19.5675951486422
"3","0",4.44648335556921e-15,14.9333933666428,3.47599962154573
"6","1",6.34171551872586e-14,-27.1353727417725,0.75173756753628
"7","0",9.77847571722045e-15,37.6286652711662,3.23192045858006
"8","1",-1.22576510752304e-14,-22.4236511126783,-0.478904181332145
"9","1",-4.16533635759485e-14,44.9778099612192,-5.41967672538057
"10","1",1.33082406599563e-14,-10.3200383089549,8.1786471052718
"11","1",7.21748973586451e-14,69.5009661253306,4.28564165814736
"12","0",3.55014867390284e-14,-0.698111176776453,-5.38746538745916
"13","0",-1.07257241710361e-13,67.0929431731067,4.01750706944851
"15","0",2.09038824604465e-15,1.59855362385905,-16.2779464835978
"14","0",2.17839135704216e-14,27.8286143558907,-32.8438317370441
"17","1",-1.59254500082049e-14,4.14774407412362,-24.439828170792
"18","1",-8.27068436945291e-14,40.0277752826286,9.58262241335273
"19","0",-3.16624933320044e-14,114.702414215448,-59.106211979633
"20","1",2.83365248358242e-14,1.39072085147832,-3.78121987971553
"27","0",3.04384042376593e-14,-0.0658540536324937,4.61256443545743
"22","0",3.73528960756139e-14,102.940132487196,-23.1421070859787
"28","1",-2.47793459529484e-14,-6.95920504687026,-5.60328178289894
"29","1",3.82500384895942e-14,-29.1678006491148,17.8818448978309
"30","1",-1.59034174046785e-15,26.1534254910041,34.7523246700369
"32","0",3.36419679178013e-14,-0.484601633601122,-25.1839936008512
"34","1",3.05439811243652e-14,21.5861841607945,-3.72994667993847
"36","1",1.2013436977081e-14,-9.71305045920393,-6.2112379919067
"37","1",-1.62297174328673e-14,25.2003868273414,-5.55398824921587
"38","0",-4.96283271746481e-16,34.4762844757596,34.38794749268
"42","0",-4.70138846507715e-14,2.43175603388946,-0.0411805633858107
"39","0",6.1738160515034e-15,31.1365204945947,18.2241352907142
"41","1",-7.03457748466303e-15,46.3868191172882,-4.49789208142297
"43","1",-1.98035224056322e-14,-15.8524579805877,-14.0324485743592
"40","1",1.68731504925988e-15,13.9163012271975,17.8612390290792
"45","0",-1.42351205901602e-14,71.4065724585579,-4.80956526122426
"44","1",2.55314153605492e-14,-1.41351178539578,21.2363429336516
"48","0",-2.15965853229859e-14,53.7799782035263,-31.5443585416671
"46","1",-4.4640258490572e-15,1.80793627911599,-25.082600890385
"47","0",-1.65831284919875e-16,32.7262810490275,16.8763157529071
"49","1",3.28253500686846e-14,6.5400338657342,15.3745768431197
"51","0",4.16229907663208e-15,68.1785896240734,-13.3380010476877
"52","1",2.10047495530851e-14,-17.3742947309829,11.6051750496469
"53","0",2.32325815874172e-14,30.6613429602752,-12.8908941414563
"55","1",2.55856942420782e-14,-23.3165052698543,2.38601539315713
"57","0",1.40510355167667e-16,-22.59701702844,-6.09602040844168
"59","0",1.37357187300389e-13,92.9183284529727,-46.9865288060288
"62","0",1.06260684492435e-14,11.8025916541738,-13.0443750890175
"63","1",3.52731434680848e-14,161.162904524307,28.3277296344627
"64","1",6.43799199393705e-15,32.5674870680247,-6.31922545395476
"66","1",-4.77900688830011e-14,115.288980701669,-3.48666107960573
"68","1",-1.61172914573905e-15,1.84147443193202,16.6604567307308
"69","0",6.21599604039105e-15,9.91288252166102,-1.72697924607833
"70","1",1.60262030427504e-14,27.1636459376107,11.6218200302344
"71","0",1.01958490297778e-14,42.6055308771377,-36.7116871883764
"72","1",-7.75053397400615e-15,84.7901148981106,-8.68682022756522
"73","1",2.89828434028073e-14,0.702166093246966,18.4917178615839
"74","0",-2.73159013907132e-14,25.2772556494749,8.97343158203298
"75","0",-1.17561840519562e-14,40.2076165036058,36.8086384785603
"77","1",-6.49086986527687e-15,13.7447257617069,-40.6836179404228
"80","1",3.08676262173791e-14,8.37833250718573,19.3184081864793
"81","1",1.95559046177509e-14,58.0678378946281,4.03456691211479
"82","0",4.76115502606952e-14,154.835107612302,-29.5953352703351
"84","0",1.85875258619511e-14,102.080664051748,-37.3597331333687
"92","0",-3.25647821041834e-14,5.53804615331707,17.3579635061134
"93","1",-7.12968579480923e-14,-6.24666558828611,-1.55309130940068
"91","0",3.40969898359064e-14,8.23187558391378,10.6751298075694
"96","1",3.85374858026946e-14,3.52878987311515,0.135521129455814
"97","0",1.2038233186766e-15,5.03231093534248,1.98069431512088
"99","0",-5.18750408906361e-15,23.5557069504002,-0.697775897624395
"100","1",2.04995794536402e-14,17.5028984304058,-14.4977214419451
"101","1",-3.45484802343299e-14,28.5520770399154,-2.32591389505783
"104","0",-8.25631296820734e-14,4.98532628227593,-0.0562390553022922
"103","0",9.7721292257811e-15,0.175898663634786,2.512436356776
"106","0",-4.17113117651923e-14,7.20337610765988,-8.20256204111465
"107","0",-5.79879659848235e-15,34.5096376892533,-5.97718940028531
"108","1",-3.72505210918892e-14,12.6913000138447,11.7494262447532
"111","0",1.4776869950722e-16,-8.7419366278853,-19.8523384496082
"112","1",7.33883200637901e-14,35.006311707264,-4.0844705873145
"110","1",2.56873594260897e-14,32.0597494706582,-6.74249796640368
